MSOA11CD,MSOA11NM,ZonePfSH,LAD,DELTA Macrozone,DELTA FMA+B?,Proportions MSOA/Zones
E02003541,Portsmouth 018,536,Portsmouth,2,F,2.18529E-06
E02003541,Portsmouth 018,530,Portsmouth,2,F,1.0753E-06
E02003541,Portsmouth 018,529,Portsmouth,2,F,0.214903127
E02003541,Portsmouth 018,528,Portsmouth,2,F,8.98506E-07
E02003542,Portsmouth 019,516,Portsmouth,2,F,0.217837369
E02003542,Portsmouth 019,515,Portsmouth,2,F,0.251409315
E02003542,Portsmouth 019,514,Portsmouth,2,F,0.266501735
E02003542,Portsmouth 019,513,Portsmouth,2,F,0.104739099
E02003542,Portsmouth 019,512,Portsmouth,2,F,7.21133E-07
E02003542,Portsmouth 019,498,Portsmouth,2,F,8.73184E-07
E02003542,Portsmouth 019,495,Portsmouth,2,F,0.159510888
E02003543,Portsmouth 020,516,Portsmouth,2,F,5.27166E-07
E02003543,Portsmouth 020,514,Portsmouth,2,F,2.21299E-06
E02003543,Portsmouth 020,513,Portsmouth,2,F,0.279111957
E02003543,Portsmouth 020,512,Portsmouth,2,F,0.368239615
E02003543,Portsmouth 020,511,Portsmouth,2,F,1.2588E-06
E02003543,Portsmouth 020,500,Portsmouth,2,F,0.015599267
E02003543,Portsmouth 020,499,Portsmouth,2,F,0.113395284
E02003543,Portsmouth 020,498,Portsmouth,2,F,0.171521384
E02003543,Portsmouth 020,495,Portsmouth,2,F,0.052128163
E02003543,Portsmouth 020,529,Portsmouth,2,F,1.8847E-07
E02003543,Portsmouth 020,528,Portsmouth,2,F,1.4213E-07
E02003544,Portsmouth 021,518,Portsmouth,2,F,2.07187E-06
E02003544,Portsmouth 021,517,Portsmouth,2,F,0.158398045
E02003544,Portsmouth 021,516,Portsmouth,2,F,0.146932258
E02003544,Portsmouth 021,515,Portsmouth,2,F,0.192514001
E02003544,Portsmouth 021,495,Portsmouth,2,F,0.043394562
E02003544,Portsmouth 021,494,Portsmouth,2,F,0.170239389
E02003544,Portsmouth 021,493,Portsmouth,2,F,0.149494172
E02003544,Portsmouth 021,519,Portsmouth,2,F,0.139025501
E02003545,Portsmouth 022,512,Portsmouth,2,F,2.52566E-10
E02003545,Portsmouth 022,506,Portsmouth,2,F,0.10024579
E02003545,Portsmouth 022,505,Portsmouth,2,F,1.46231E-06
E02003545,Portsmouth 022,504,Portsmouth,2,F,0.270711008
E02003545,Portsmouth 022,503,Portsmouth,2,F,0.039664842
E02003545,Portsmouth 022,502,Portsmouth,2,F,0.214361355
E02003545,Portsmouth 022,501,Portsmouth,2,F,0.159591944
E02003545,Portsmouth 022,500,Portsmouth,2,F,0.119189173
E02003545,Portsmouth 022,499,Portsmouth,2,F,0.046347009
E02003545,Portsmouth 022,497,Portsmouth,2,F,0.049887415
E02003546,Portsmouth 023,517,Portsmouth,2,F,4.31728E-07
E02003546,Portsmouth 023,497,Portsmouth,2,F,2.93314E-08
E02003546,Portsmouth 023,496,Portsmouth,2,F,0.108784893
E02003546,Portsmouth 023,495,Portsmouth,2,F,0.085352194
E02003546,Portsmouth 023,494,Portsmouth,2,F,0.086447196
E02003546,Portsmouth 023,493,Portsmouth,2,F,0.042943968
E02003546,Portsmouth 023,492,Portsmouth,2,F,0.323256279
E02003546,Portsmouth 023,491,Portsmouth,2,F,0.353215009
E02003547,Portsmouth 024,509,Portsmouth,2,F,0.139507869
E02003547,Portsmouth 024,508,Portsmouth,2,F,0.119350861
E02003547,Portsmouth 024,507,Portsmouth,2,F,0.105962005
E02003547,Portsmouth 024,506,Portsmouth,2,F,0.133033031
E02003547,Portsmouth 024,505,Portsmouth,2,F,0.353679803
E02003547,Portsmouth 024,504,Portsmouth,2,F,7.75453E-07
E02003547,Portsmouth 024,503,Portsmouth,2,F,0.064773548
E02003547,Portsmouth 024,502,Portsmouth,2,F,1.4745E-07
E02003547,Portsmouth 024,497,Portsmouth,2,F,0.052642676
E02003547,Portsmouth 024,496,Portsmouth,2,F,0.025613215
E02003547,Portsmouth 024,539,Portsmouth,2,F,0.005358975
E02003547,Portsmouth 024,538,Portsmouth,2,F,5.12125E-07
E02003547,Portsmouth 024,536,Portsmouth,2,F,2.73164E-07
E02003547,Portsmouth 024,438,Portsmouth,2,F,7.63104E-05
E02003548,Portsmouth 025,512,Portsmouth,2,F,1.84917E-07
E02003548,Portsmouth 025,505,Portsmouth,2,F,1.13272E-06
E02003548,Portsmouth 025,502,Portsmouth,2,F,6.67727E-08
E02003548,Portsmouth 025,499,Portsmouth,2,F,0.200578317
E02003548,Portsmouth 025,498,Portsmouth,2,F,0.16972944
E02003548,Portsmouth 025,497,Portsmouth,2,F,0.361773615
E02003548,Portsmouth 025,496,Portsmouth,2,F,0.192522819
E02003548,Portsmouth 025,495,Portsmouth,2,F,0.075394425
E02003549,Southampton 001,262,Southampton,3,F,2.76941E-06
E02003549,Southampton 001,114,Southampton,3,F,1.58902E-07
E02003549,Southampton 001,113,Southampton,3,F,2.5429E-06
E02003549,Southampton 001,112,Southampton,3,F,0.185944069
E02003549,Southampton 001,111,Southampton,3,F,0.452845365
E02003549,Southampton 001,110,Southampton,3,F,0.341865851
E02003549,Southampton 001,104,Southampton,3,F,1.35832E-07
E02003549,Southampton 001,103,Southampton,3,F,1.88799E-07
E02003549,Southampton 001,101,Southampton,3,F,0.019338452
E02003549,Southampton 001,99,Southampton,3,F,2.85465E-07
E02003549,Southampton 001,155,Southampton,3,F,1.82003E-07
E02003550,Southampton 002,262,Southampton,3,F,7.6138E-07
E02003550,Southampton 002,273,Southampton,3,F,4.07383E-07
E02003550,Southampton 002,272,Southampton,3,F,1.09387E-06
E02003550,Southampton 002,117,Southampton,3,F,4.87575E-07
E02003550,Southampton 002,116,Southampton,3,F,0.121550318
E02003550,Southampton 002,114,Southampton,3,F,0.093790717
E02003550,Southampton 002,111,Southampton,3,F,4.36568E-07
E02003550,Southampton 002,155,Southampton,3,F,0.275271902
E02003550,Southampton 002,154,Southampton,3,F,0.173182225
E02003550,Southampton 002,153,Southampton,3,F,0.069306725
E02003550,Southampton 002,152,Southampton,3,F,0.266894205
E02003550,Southampton 002,151,Southampton,3,F,7.19807E-07
E02003551,Southampton 003,262,Southampton,3,F,6.88982E-07
E02003551,Southampton 003,244,Southampton,3,F,7.70358E-07
