Zone,Area,Zone_type,LAD,ZonG,Core,D30_Districts ID
136,3,F,Southampton,-105,Core,10
137,3,F,Southampton,-105,Core,10
138,3,F,Southampton,-105,Core,10
139,3,F,Southampton,-105,Core,10
140,3,F,Southampton,-105,Core,10
141,3,F,Southampton,-105,Core,10
142,3,F,Southampton,-105,Core,10
143,3,F,Southampton,-105,Core,10
144,3,F,Southampton,-105,Core,10
145,3,F,Southampton,-105,Core,10
146,3,F,Southampton,-105,Core,10
147,3,F,Southampton,-105,Core,10
148,3,F,Southampton,-105,Core,10
149,3,F,Southampton,-105,Core,10
150,3,F,Southampton,-105,Core,10
151,3,F,Southampton,-105,Core,10
152,3,F,Southampton,-105,Core,10
153,3,F,Southampton,-105,Core,10
154,3,F,Southampton,-105,Core,10
155,3,F,Southampton,-105,Core,10
156,3,F,New Forest,-112,Core,6
157,3,F,New Forest,-112,Core,6
158,3,F,New Forest,-112,Core,6
159,3,F,New Forest,-112,Core,6
160,3,F,New Forest,-112,Core,6
161,3,F,New Forest,-112,Core,6
162,3,F,New Forest,-112,Core,6
163,3,F,New Forest,-112,Core,6
164,3,F,New Forest,-112,Core,6
165,3,F,New Forest,-112,Core,6
166,3,F,New Forest,-112,Core,6
167,3,F,New Forest,-112,Core,6
168,3,F,New Forest,-112,Core,6
169,3,F,New Forest,-112,Core,6
170,3,F,New Forest,-112,Core,6
171,3,F,New Forest,-112,Core,6
172,3,F,New Forest,-112,Core,6
173,3,F,New Forest,-112,Core,6
174,3,F,New Forest,-112,Core,6
175,3,F,New Forest,-112,Core,6
176,3,F,New Forest,-112,Core,6
177,3,F,New Forest,-112,Core,6
178,3,F,New Forest,-112,Core,6
179,3,F,New Forest,-112,Core,6
180,3,F,New Forest,-112,Core,6
181,3,F,New Forest,-112,Core,6
182,3,F,New Forest,-112,Core,6
183,3,F,New Forest,-112,Core,6
184,3,F,New Forest,-112,Core,6
185,3,F,New Forest,-112,Core,6
186,3,F,New Forest,-112,Core,6
187,3,F,New Forest,-112,Core,6
188,3,F,New Forest,-112,Core,6
189,3,F,Eastleigh,-115,Core,2
190,3,F,Eastleigh,-115,Core,2
191,3,F,Eastleigh,-115,Core,2
192,3,F,Eastleigh,-115,Core,2
193,3,F,Eastleigh,-115,Core,2
194,3,F,Eastleigh,-115,Core,2
195,3,F,Eastleigh,-115,Core,2
196,3,F,Eastleigh,-115,Core,2
197,3,F,Eastleigh,-115,Core,2
198,3,F,Eastleigh,-115,Core,2
199,3,F,Eastleigh,-115,Core,2
200,3,F,Eastleigh,-115,Core,2
201,3,F,Eastleigh,-115,Core,2
202,3,F,Eastleigh,-115,Core,2
203,3,F,Eastleigh,-115,Core,2
204,3,F,Eastleigh,-115,Core,2
205,3,F,Eastleigh,-115,Core,2
206,3,F,Eastleigh,-115,Core,2
207,3,F,Eastleigh,-115,Core,2
208,3,F,Eastleigh,-115,Core,2
209,3,F,Eastleigh,-115,Core,2
210,3,F,Eastleigh,-115,Core,2
211,3,F,Eastleigh,-115,Core,2
212,3,F,Eastleigh,-115,Core,2
213,3,F,Eastleigh,-115,Core,2
214,3,F,Eastleigh,-115,Core,2
215,3,F,Eastleigh,-115,Core,2
216,3,F,Eastleigh,-115,Core,2
217,3,F,Eastleigh,-115,Core,2
218,3,F,Eastleigh,-115,Core,2
219,3,F,Eastleigh,-115,Core,2
220,3,F,Eastleigh,-115,Core,2
221,3,F,Eastleigh,-115,Core,2
222,3,F,Eastleigh,-115,Core,2
223,3,F,Eastleigh,-115,Core,2
224,3,F,Eastleigh,-115,Core,2
225,3,F,Eastleigh,-115,Core,2
226,3,F,Eastleigh,-115,Core,2
227,3,F,Eastleigh,-115,Core,2
228,3,F,Eastleigh,-115,Core,2
229,3,F,Eastleigh,-115,Core,2
230,3,F,Eastleigh,-115,Core,2
231,3,F,Eastleigh,-115,Core,2
232,3,F,Eastleigh,-115,Core,2
233,3,F,Eastleigh,-115,Core,2
234,3,F,Eastleigh,-115,Core,2
235,3,F,Eastleigh,-115,Core,2
236,3,F,Eastleigh,-115,Core,2
237,3,F,Eastleigh,-115,Core,2
238,3,F,Eastleigh,-115,Core,2
239,3,F,Eastleigh,-115,Core,2
240,3,F,Eastleigh,-115,Core,2
241,3,F,Eastleigh,-115,Core,2
242,3,F,Eastleigh,-115,Core,2
243,3,F,Eastleigh,-115,Core,2
244,3,F,Eastleigh,-115,Core,2
245,3,F,Eastleigh,-115,Core,2
246,3,F,Eastleigh,-115,Core,2
247,3,F,Eastleigh,-115,Core,2
248,3,F,Eastleigh,-115,Core,2
249,3,F,Eastleigh,-115,Core,2
250,3,F,Eastleigh,-115,Core,2
251,3,F,Eastleigh,-115,Core,2
252,3,F,Eastleigh,-115,Core,2
253,3,F,Eastleigh,-115,Core,2
254,3,F,Eastleigh,-115,Core,2
255,3,F,Eastleigh,-115,Core,2
256,3,F,Eastleigh,-115,Core,2
257,3,F,Eastleigh,-115,Core,2
258,3,F,Eastleigh,-115,Core,2
259,3,F,Test Valley,-113,Core,7
260,3,F,Test Valley,-113,Core,7
261,3,F,Test Valley,-113,Core,7
262,3,F,Test Valley,-113,Core,7
263,3,F,Test Valley,-113,Core,7
264,3,F,Test Valley,-113,Core,7
265,3,F,Test Valley,-113,Core,7
266,3,F,Test Valley,-113,Core,7
267,3,F,Test Valley,-113,Core,7
268,3,F,Test Valley,-113,Core,7
269,3,F,Test Valley,-113,Core,7
270,3,F,Test Valley,-113,Core,7
271,3,F,Test Valley,-113,Core,7
272,3,F,Test Valley,-113,Core,7
273,3,F,Test Valley,-113,Core,7
274,3,F,Test Valley,-113,Core,7
275,3,F,Test Valley,-113,Core,7
276,3,F,Test Valley,-113,Core,7
277,3,F,Test Valley,-113,Core,7
278,3,F,Test Valley,-113,Core,7
279,3,F,Test Valley,-113,Core,7
280,3,F,Test Valley,-113,Core,7
281,3,F,Test Valley,-113,Core,7
282,3,F,Test Valley,-113,Core,7
283,3,F,Test Valley,-113,Core,7
284,3,F,Test Valley,-113,Core,7
285,3,F,Test Valley,-113,Core,7
286,2,F,Fareham,-110,Core,3
287,2,F,Fareham,-110,Core,3
288,2,F,Fareham,-110,Core,3
289,2,F,Fareham,-110,Core,3
290,2,F,Fareham,-110,Core,3
291,2,F,Fareham,-110,Core,3
292,2,F,Fareham,-110,Core,3
293,2,F,Fareham,-110,Core,3
294,2,F,Fareham,-110,Core,3
295,2,F,Fareham,-110,Core,3
296,2,F,Fareham,-110,Core,3
297,2,F,Fareham,-110,Core,3
298,2,F,Fareham,-110,Core,3
299,2,F,Fareham,-110,Core,3
300,2,F,Fareham,-110,Core,3
301,2,F,Fareham,-110,Core,3
302,2,F,Fareham,-110,Core,3
303,2,F,Fareham,-110,Core,3
304,2,F,Fareham,-110,Core,3
305,2,F,Fareham,-110,Core,3
